name
"1918 Lanessan, Haut-Médoc"
"1919 Chambertin, (Bottled for Fortnum and Mason) (375 ML) (2 1/2"" fill)"
"1919 Lanessan, Haut-Medoc (high shoulder)"
"1924 Haut Brion, Graves"
"1929 Lescalle, Macau (low shoulder, torn label)"
"1934 Cheval Blanc, St. Emilion"
1934 Clos du Lambrays
"1934 Gruaud-Larose, St-Julien"
"1934 Montrose, St. Estephe"
1934 Mouton-Rothschild (375ml)
1934 Pommard Epenot Francois Martenot (Barolet)
1937 Chambertin Bouchard
"1938 Pontet Canet, Pauillac (1.5L) (high shoulder fill)"
"1939 Pichon-Baron, Pauillac (low shoulder fill, capsule missing)"
"1940 Branaire Ducru, St-Julien (Mid Shoulder Fill, Good Condition)"
"1940 Branaire Ducru, St. Julien"
1940 Pontet Canet (Sichel Bottling)
1943 Beringer Napa Burgundy
"1943 Clos St Denis, Bassol (6 cm)"
"1945 Cos d'Estournel, St-Estèphe (slightly soiled label)"
"1945 Léoville-Las Cases, St-Julien (top/high shoulder, slightly soiled label)"
"1945 Margaux, Margaux (1.5L)"
"1945 Sénéjac, Haut-Médoc"
"1945 Vosne Romanée, Jean Grivelet"
1947 Clos de Lambrays Morey St Denis (1.5L)
1947 Corton Bressandes (Sichel Bottling)
1947 Petrus (1.5L)
"1947 Siran, Margaux"
1948 Cheval Blanc St Emilion
"1948 Cos d'Estournel, St-Estèphe (Mid shoulder fill)"
"1948 Lafite-Rothschild, Pauillac"
"1949 Brane Cantenac, Margaux (High/Mid Shoulder, nicked capsule)"
"1949 Calon-Ségur, St-Estèphe"
"1949 Cantemerle (Mähler-Besse), Haut-Médoc"
"1949 Cheval Blanc, St-Emilion"
"1949 Henri de Villamont ""Collection du Docteur Barolet"" Vosne Romanée"
"1949 Margaux (Low to mid shoulder fill, slightly depressed cork)"
"1949 Pape Clement, Graves"
"1949 Rausan Segla, Margaux"
"1950 Beaulieu Vineyard Private Reserve Cabernet Sauvignon (high/mid shoulder fills, soiled label)"
